situacaoEmpresa,tipoEmpresa,cnpj,razaoSocial,endereco,bairro,municipio,uf,cep,telefone,motoristasHabilitados,rodoviarioAtivo,semiurbanoAtivo,fretamentoAtivo,codigoTAFfretamento,numLinhasAtivasRodoviarioInterestadual,numLinhasAtivasSemiurbanoInterestadual,numLicencasFretamento12mesesInterestadual,numLinhasAtivasRodoviarioInternacional,numLinhasAtivasSemiurbanoInternacional,numLicencasFretamento12mesesInternacional,numVeiculosTipoOnibus,numVeiculosTipoMicroOnibus,numVeiculosTipoSemiurbano,numVeiculosAtivosRodoviario,numVeiculosAtivosSemiurbano,numVeiculosAtivosFretamento,numViagensAcumAnoRodoviarioInterestadual,numViagensAcumAnoSemiurbanoInterestadual,numLicencasAcumAnoFretamentoInterestadual,numPassageirosAcumAnoRodoviarioInterestadual,numPassageirosAcumAnoSemiurbanoInterestadual,numPassageirosAcumAnoFretamentoInterestadual,numViagensAcumAnoRodoviarioInternacional,numViagensAcumAnoSemiurbanoInternacional,numLicencasAcumAnoFretamentoInternacional,numPassageirosAcumAnoRodoviarioInternacional,numPassageirosAcumAnoSemiurbanoInternacional,numPassageirosAcumAnoFretamentoInternacional,dataReferencia
ativa,nacional,05.788.715/0001-74,FONTUR TRANSPORTES LTDA,"AV. SAMUEL GUAZZELLI, 1188",CRISTAL,VACARIA,RS,95200000,54-3231-3884,5,não,não,sim,433662,0,0,23,0,0,0,3,0,0,0,0,3,0,0,18,0,0,507,0,0,0,0,0,0,43007
ativa,nacional,05.789.733/0001-70,ALMENARA TURISMO LTDA - ME,"RUA HENRIQUE HEITMAN, Nº 54",CENTRO,ALMENARA,MG,39900000,33-3445-2769,42,não,não,sim,318013,0,0,327,0,0,0,4,0,0,0,0,4,0,0,221,0,0,8410,0,0,0,0,0,0,43007
ativa,nacional,05.791.240/0001-75,TS TURISMO EIRELI,"R DOUTOR AILSON MENDES BRITO BINHA, 445",RENASCENÇA,PORTEIRINHA,MG,39520000,38-38312800,15,não,não,sim,313654,0,0,57,0,0,0,7,0,0,0,0,7,0,0,29,0,0,1443,0,0,0,0,0,0,43007
ativa,nacional,05.814.267/0001-36,JDR TRANSPORTE COLETIVO LTDA,"ESTRADA DO CERNE, S/N, PALMITAL",SÃO SILVESTRE,CAMPO LARGO,PR,83642000,41-3292-1282,0,não,não,sim,412882,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,05.818.861/0001-03,MANOEL GARCIA PESSOA ME,RUA JOAO DE BARRO 116,AYROSA,OSASCO,SP,6280090,11-36969231,25,não,não,sim,357714,0,0,220,0,0,0,19,2,0,0,0,21,0,0,148,0,0,3000,0,0,0,0,0,0,43007
ativa,nacional,05.824.788/0001-74,EMPRESA DE TRANSPORTES KOPERECK LTDA,RUA GENERAL NETO Nº 915 SALA 103,CENTRO,PELOTAS,RS,96015280,53-3221-1122,75,não,não,sim,436757,0,0,221,0,0,67,15,0,0,0,0,15,0,0,125,0,0,4501,0,0,42,0,0,1829,43007
ativa,nacional,05.825.627/0001-03,JOAO VICENTE RIBEIRO EIRELI-ME,RUA JANDIR ZANELLA N 1915 SALA 01,CONDÁ,MEDIANEIRA,PR,85884000,45-32646901,3,não,não,sim,411834,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,05.827.231/0001-97,KADOSH LOCAÇÃO TRANSPORTE E TURISMO LTDA-ME,RUA RONILSON QUEIROZ JUNIOR 214,PORTAL DE ANCHIETA,ANCHIETA,ES,29230000,28-999863255,3,não,não,sim,321784,0,0,3,0,0,0,1,0,0,0,0,1,0,0,3,0,0,41,0,0,0,0,0,0,43007
ativa,nacional,05.828.544/0001-60,ALMIR AZEVEDO DE OLIVEIRA EIRELI - ME,"RUA MINISTRO MACEDO SOARES, N° 1",LAGOA NOVA,NATAL,RN,59076660,84-3206-9665,2,não,não,sim,249013,0,0,56,0,0,0,1,1,0,0,0,2,0,0,36,0,0,389,0,0,0,0,0,0,43007
ativa,nacional,05.830.603/0001-34,NBM PRESTADORA DE SERVIÇOS DE TRANSPORTES LTDA.,RUA ONOFRE JOSÉ GOMES 165,JARDIM DO CONTORNO,POÇOS DE CALDAS,MG,37706173,35-37146456,6,não,não,sim,318535,0,0,67,0,0,0,1,3,0,0,0,4,0,0,40,0,0,627,0,0,0,0,0,0,43007
ativa,nacional,05.833.001/0001-30,J. H. TURISMO LTDA,RUA SÃO JOSÉ S/N ESCRITÓRIO,CENTRO,SITIO DO MATO,BA,47610000,77-3481-3280--9961-1381,24,não,não,sim,293408,0,0,59,0,0,0,3,0,0,0,0,3,0,0,35,0,0,1443,0,0,0,0,0,0,43007
ativa,nacional,05.834.983/0001-85,W L TRANSPORTES RODOVIARIOS LTDA-ME,"AV DO SOL, 516",JARDIM DO SOL,LONDRINA,PR,86070260,43-3338-5713,1,não,não,sim,412346,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,05.835.580/0001-50,CLASSE A TRANSPORTADORA TURISTICA EIRELI,RUA OSCAR VILAS BOAS 218 SALA 01,ATERRADO MOGI MIRIM,MOJI-MIRIM,SP,13801336,19-3804-5505,3,não,não,sim,352758,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,05.836.567/0001-16,FALETUR - TRANSPORTE COLETIVO DE PASSAGEIROS LTDA,"AV. SÃO VICENTE, 5080",JD. NOÊMIA,FRANCA,SP,14403830,16-3702-1249,9,não,não,sim,355426,0,0,95,0,0,0,7,0,0,0,0,7,0,0,52,0,0,2139,0,0,0,0,0,0,43007
ativa,nacional,05.842.747/0001-00,VIVITUR TRANSPORTES LTDA,RUA MIGUEL GOMES DA COSTA N° 80,MANTIQUEIRA,BELO HORIZONTE,MG,31652320,31-3453-2120,49,não,não,sim,314061,0,0,234,0,0,0,5,0,0,0,0,5,0,0,145,0,0,6500,0,0,0,0,0,0,43007
ativa,nacional,05.843.056/0001-21,HUENDERSON ALIANDRO GUEDES ME,"RUA MINAS NOVAS, Nº 539",CENTRO,JENIPAPO DE MINAS,MG,39645000,33-3738-9106,3,não,não,sim,316149,0,0,60,0,0,0,2,0,0,0,0,2,0,0,40,0,0,1270,0,0,0,0,0,0,43007
ativa,nacional,05.852.023/0001-48,J H DE ARAUJO TRANSPORTE ESCOLAR E TURISMO EIRELI - ME,"CONDOMÍNIO PRIVE MORADA SUL, CONJUNTO 01, ETAPA C, LOTE 15",PARANOÁ,BRASILIA,DF,71680348,61-99975-9214,0,não,não,sim,539898,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,05.852.437/0001-77,L. DE SOUZA ALMEIDA PINHEIRO TRANSPORTE LTDA,ESPIRITO SANTO 231 TERREO,CALIFORNIA,ITABUNA,BA,45604242,73-988459860 / 98808197,7,não,não,sim,299396,0,0,29,0,0,0,3,0,0,0,0,3,0,0,26,0,0,883,0,0,0,0,0,0,43007
ativa,nacional,05.858.863/0001-18,TRANSPORTADORA IMPERADOR LTDA - ME,"RUA LEOPOLDO BROERING, 3097",CENTRO,SANTO AMARO DA IMPERATRIZ,SC,88140000,48-32456260,11,não,não,sim,423287,0,0,86,0,0,2,2,0,0,0,0,2,0,0,52,0,0,2130,0,0,1,0,0,25,43007
ativa,nacional,05.858.897/0001-02,IRATITUR TRANSPORTES LTDA-ME,"RUA FRANCISCO DE RAMOS CABRAL, Nº 1140 SALA 01",CENTRO,REBOUÇAS,PR,84550000,42-34572927,6,não,não,sim,419653,0,0,48,0,0,0,4,1,0,0,0,5,0,0,29,0,0,842,0,0,0,0,0,0,43007
ativa,nacional,05.870.033/0001-06,VH TRANS TRANSPORTADORA TURISTICA LTDA-ME,"RUA FRANSCISCO DIOGO ASSIS DE VASCONCELOS, 184/ LOTE 628",JARDIM PIRATININGA,OSASCO,SP,6226006,11-39263226,11,não,não,sim,356773,0,0,112,0,0,0,6,1,0,0,0,7,0,0,71,0,0,2410,0,0,0,0,0,0,43007
ativa,nacional,05.877.552/0001-04,"PASTRANS-TRANSPORTE, TURISMO E LOCAÇÃO LTDA",AV ALVARO DE LIMA 240,VILA VIRGÍNIA,RIBEIRAO PRETO,SP,14030050,16-1632383362,54,não,não,sim,357818,0,0,11,0,0,0,7,0,0,0,0,7,0,0,10,0,0,321,0,0,0,0,0,0,43007
ativa,nacional,05.879.925/0001-78,SANYO TOUR TRANSPORTES E LOCAÇÃO DE VEICULOS LTDA - ME,"RUA GIOVANNI DA CONEGLIANO, 790",VILA LIVIERO,SAO PAULO,SP,4186020,11-2331-7582,56,não,não,sim,354729,0,0,58,0,0,0,9,0,0,0,0,9,0,0,29,0,0,1172,0,0,0,0,0,0,43007
ativa,nacional,05.883.773/0001-87,FRANSOUZA TURISMO LTDA,RUA FRANÇA 259,CRUZEIRO CELESTE,JOAO MONLEVADE,MG,35931062,31-3852-8611,28,não,não,sim,313273,0,0,25,0,0,0,3,0,0,0,0,3,0,0,13,0,0,395,0,0,0,0,0,0,43007
ativa,nacional,05.887.398/0001-43,LEÃO TRANSPORTE TURISTICO EIRELI - ME,RUA OTTO LINK N 429,LOTEAMENTO SÃO DOMINGOS,SAO JOSÉ DO CEDRO,SC,89930000,48-49 99117-2573,1,não,não,sim,420924,0,0,4,0,0,0,1,0,0,0,0,1,0,0,4,0,0,39,0,0,0,0,0,0,43007
ativa,nacional,05.893.249/0001-97,UNITUR BASSANO - TRANSPORTE E TURISMO LTDA,RUA PINHEIRO MACHADO 2081,CENTRO,NOVA BASSANO,RS,95340000,54-3273-1237,23,não,não,sim,433775,0,0,39,0,0,10,7,0,0,0,0,7,0,0,21,0,0,721,0,0,7,0,0,298,43007
ativa,nacional,05.895.243/0001-59,INTERAÇÃO VIAGENS E TURISMO LTDA,RUA JÚLIO DITIMAR 1230,MONTE CASTELO,CAMPO GRANDE,MS,79010150,67-33832445,20,não,não,sim,506005,0,0,17,0,0,26,2,0,0,0,0,2,0,0,8,0,0,208,0,0,14,0,0,357,43007
ativa,nacional,05.897.585/0001-08,RIC EXPRESS TRANSPORTE TURISMO LTDA,"AV. JOSE HORACIO MELLAO, Nº 2350",CHÁCARA ALIANÇA,SAO MANUEL,SP,18650000,14-38411550,5,não,não,sim,357482,0,0,15,0,0,0,2,0,0,0,0,2,0,0,7,0,0,274,0,0,0,0,0,0,43007
ativa,nacional,05.908.153/0001-55,NEG-TUR VIAGENS E TURISMO LTDA,RUA DR ABILIO CEZAR BORGES 136,CENTRO,MACAUBAS,BA,46500000,61-32254585,0,não,não,sim,292949,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,05.916.889/0001-75,EDMILSON SOUZA LOPES TURISMO EIRELI - ME,"RUA BARÃO DO AMAZONAS,1185",GERCINO COELHO,PETROLINA,PE,56306050,87-98831-6898,5,não,não,sim,260884,0,0,9,0,0,0,1,0,0,0,0,1,0,0,7,0,0,132,0,0,0,0,0,0,43007
